lat,lng,星级,餐厅名称
30.2527070986,120.0548811895,00%,外婆家(西溪印象城店)
30.2752664864,120.17037944,100%,绿茶餐厅(百大店)
30.213788446,120.1514572891,60%,杭州味道
30.2765083313,120.1473536389,100%,金橘餐厅(杭大店)
30.3020595395,120.1642394921,90%,德泓面馆
30.4871871834,120.1964809522,70%,塘栖水乡酒楼
30.3134867794,120.090520582,70%,清真餐厅
30.261122,120.059302,0%,木守西溪溪隐餐厅
30.292053,120.02363,0%,欢牛蛋糕屋
30.365326,120.068318,0%,李白餐厅(杜甫店)
29.613932,119.045402,0%,千岛湖Donut town
30.259473,120.173086,100%,湖月·割烹料理(湖滨店)
30.267286,120.161753,0%,牛排家(武林路店)
29.6059780086,119.0338131806,0%,姜君·千岛湖鱼头馆·听风望湖
30.2607755625,120.1704088704,0%,鲍师傅糕点(湖滨店)
30.2261494384,119.7116709137,0%,舟山渔场
30.2496369102,120.1722703977,100%,哥老官重庆美蛙鱼头(西湖银泰十一哥店)
30.1804749569,120.277912139,0%,隆港火锅
29.6094570098,119.0841160859,0%,千岛湖希尔顿酒店一品阁中餐
30.3195082215,120.150459381,0%,老头儿油爆虾
30.3891548499,120.241829511,0%,牛路野营草坪烧烤(皋亭山店)
30.2455488164,120.2190871804,100%,泛海钓鱼台酒店·芳菲苑
30.236770858,120.2035482692,0%,海老大海鲜烤肉火锅自助餐(天阳亲子广场店)
30.2556322824,120.18492909,0%,素食堂(解放路店)
30.169525039,120.2520383485,0%,第一世界大酒店丛林餐厅
30.286284642,120.1007964122,0%,熔鱼餐厅(西城广场购物中心店)
30.2323782623,120.1772676981,0%,南宋御坊美食街
29.602563858,119.0602501001,0%,千岛湖海外海假日酒店
29.787519455,119.7176999989,0%,桐庐海博大酒店中餐厅满庭芳
30.353631,119.43596,100%,西天目山龙凤竹农家乐
29.6065598882,119.0323173609,00%,汝拉小镇·烧烤·篝火(千岛湖店)
30.245496523,120.1974761379,70%,大唐沈家门海鲜(近江店)
30.2230519205,120.1291921074,80%,山舍PillowBooks
29.5983528649,119.0447001665,00%,老乡农庄
29.634617,119.251879,0%,茂山·青田野
30.2792601355,120.123229623,60%,凡老头米线砂锅
29.619469,119.051425,80%,满意野生鱼馆
30.437093,119.739077,0%,牛路野营草坪烧烤农家乐(鸬鸟店)
30.2635187836,120.1668621251,0%,蜀大侠火锅(湖滨店)
30.2545454268,120.2187974481,80%,WIN HOUSE(来福士中心店)
30.2507126103,120.2224765882,100%,川味观·毛肚火锅(来福士中心店)
29.6094970066,119.0841160726,80%,滨江希尔顿度假酒店泛亚餐厅
30.2608086582,120.1371364621,100%,老船长酒吧
30.2830982208,120.1695018791,94%,新白鹿餐厅(西湖文化广场店)
30.2524852753,120.1731359045,86%,灶丰年间（定安路店）
30.2685762418,120.1580250797,70%,忠儿面馆(保俶路店)
30.2323169708,120.1238768899,84%,龙井草堂
30.2324276673,120.1035543108,90%,江南驿(上天竺店)
30.2663936615,120.2105474671,90%,绿茶餐厅(庆春银泰店)
