lat,lng,星级,餐厅名称
30.35415875,119.4826495,70,响板石农庄
30.25310292,120.0552826,100,张功馆(西溪印象城店)
30.16423689,120.2423294,90,湘湖游船
30.2512892,120.1765842,70,清真小吃
29.60316314,119.0200682,100,千岛湖润和建国度假酒店(建国中餐厅)
30.42707469,120.3151807,100,东北老家(临平店)
30.19408606,120.1685451,80,香港新曜记茶餐厅(滨盛店)
30.25330871,120.167356,70,西湖人家·荷韵杭帮菜
30.24821018,120.2223745,100,老头儿油爆虾(砂之船店)
30.24624443,120.1762471,60,知味观(味宅店)
30.27051035,120.2168172,80,锅内锅外(天虹店)
30.27821732,120.0763076,70,蒋村小吃
29.55406631,119.1289537,80,千岛湖洲际度假酒店·湖上全日餐厅
30.22641254,119.9931636,70,乡邻乡亲
29.60726845,119.1144638,100,千岛湖林海农庄
30.24716759,120.1124363,60,大众餐厅
30.04684471,119.9545187,100,富阳国贸大酒店自助餐厅
30.27445833,120.1480807,80,象山石浦海鲜城
30.27197838,119.6035763,40,指南村农家乐
30.321147,120.144834,80,清秋·素
30.261873,120.165545,60,亭西和风甜品(in77湖滨银泰店)
30.311403,120.149713,100,304Brunch Restaurant(远洋乐堤港店)
30.275259,120.168598,100,雷迪森酒店夏宫中餐厅
30.244078,120.153052,100,楼外楼(孤山路店)
30.214964,120.215147,80,成喜屋日本料理
29.66112175,119.0063592,100,千岛湖山湾湾民宿
30.26578779,120.1688713,60,猪爸(嘉里中心店)
30.25060225,120.1153285,100,阿福家餐厅
30.17663671,120.1037755,80,星巴克(宋城店)
30.26578628,120.1689717,100,VIDA花园餐厅(嘉里中心店)
29.97401966,120.1349998,20,牛歌山庄
30.27311655,120.1742918,100,上达堂·衢小馆(武林广场店)
30.261607,120.170366,100,大牌大传统菜
30.25849447,120.2213887,80,鲨鱼咬土司(万象城购物中心店)
30.2722077,120.1750939,100,付小姐在成都(屏风街店)
30.25064287,120.1658272,100,柳湖小筑餐厅
30.23603397,119.7331065,80,交通皇冠假日酒店浮玉轩西餐厅
30.28967738,120.1949966,100,新正元饭店
30.25203323,120.1725741,86,碧桃小馆(西湖大道店)
30.27510071,120.168602,100,雷迪森绿荫咖啡厅(国大店)
